Progress,total timesteps,mean_int_reward,num_episodes,ep_rew_mean,total_time,entropy_loss,policy_gradient_loss,icm_loss,value_loss,total_loss
90.11%,909312,0.0008012006,16812,8395.40957974,1830.6243567466736,1.0089158788323402,0.013453691128141529,0.006604416533264157,0.042120375203262485,0.06217848286466817
90.93%,917504,0.0007373189,16820,8396.1078086,1847.247803926468,0.9938614471349865,0.005025600022714238,0.006507235543904244,0.04296846069823914,0.05450129626485763
91.75%,925696,0.0007732263,16828,8418.318852580001,1863.7889785766602,0.9853699518367648,0.004904830965530624,0.0069197116363284294,0.03822241579377987,0.05004695839563893
92.57%,933888,0.0006708813,16836,8601.68988478,1880.695127248764,0.9885680732317269,0.00546111018737509,0.006987210977240465,0.036479123665048976,0.048927444829664525
93.39%,942080,0.0006788738,16846,8633.3946491,1897.3978834152222,0.9908654822967946,0.004398247960419795,0.006661496809647361,0.03836404934659186,0.049423794116659016
94.21%,950272,0.0007095988,16856,8533.74794556,1913.7973415851593,0.9818428756669164,0.00326560792879201,0.006838304878510826,0.04210313609250989,0.05220704889981272
95.03%,958464,0.0007415651,16865,8431.624963319999,1930.63929104805,0.9766913464292883,0.0036607493360783414,0.006962119903073471,0.040942099750668606,0.051564968989820416
95.85%,966656,0.0006469347,16873,8502.40059254,1946.8015019893646,0.9882518344558775,0.00422203853949645,0.00698363600877201,0.04237050826475297,0.053576182813021435
96.67%,974848,0.0006743945,16883,8410.39805496,1963.4793832302094,0.9983287198469043,0.0023550445923657417,0.006621761969472573,0.03938403632710106,0.04836084288893937
97.48%,983040,0.0006153405,16892,8391.982965420002,1979.9451215267181,0.9998192303348332,0.00312268765236448,0.006766474212963658,0.04642156736558718,0.05631072923091531
98.3%,991232,0.0006101486,16900,8392.08831596,1996.3916909694672,1.0097939958795905,0.0038441079162881294,0.00662820466895937,0.04177802777517172,0.05225034036041922
99.12%,999424,0.0006887667,16910,8567.87698834,2012.8110361099243,1.0018914075102656,0.002844784161083727,0.006393143969762605,0.04024573493884418,0.04948366306969051
99.94%,1007616,0.000620104,16919,8599.6743221,2029.5986397266388,0.9948035091161728,0.005462759577395477,0.0067341762174692125,0.04595724741834602,0.05815418321321071
