total timesteps,ep_rew_mean,Progress,num_episodes,total_time,mean_int_reward,total_loss,entropy_loss,policy_gradient_loss,value_loss,icm_loss
802816,1714.0667109599997,79.46%,5962,1598.391937971115,0.0047726398,0.10611794614524087,-0.30012416450772433,0.0008296371489421725,0.017665826820939402,0.10426839974825271
811008,1573.5253812199996,80.28%,5979,1614.845247745514,0.0044604979,0.10524616479482196,-0.2925026299664751,0.002240632730134497,0.016770445609836315,0.10334505696082488
819200,1502.88764704,81.1%,5996,1630.7460227012634,0.0047826776,0.10070456483426486,-0.2835586012341082,0.0003481517627394779,0.015094955748827488,0.09916025408310816
827392,1626.8705271600002,81.92%,6010,1646.9633584022522,0.0041175485,0.10118464298473966,-0.27453920226544143,0.002259544114845133,0.01166441266932452,0.09979224730632268
835584,1622.31612884,82.74%,6025,1662.672303199768,0.0040537213,0.0988635715508917,-0.2658209655433893,0.00143718626868551,0.02209059771757893,0.09651079315226525
843776,1757.3175604800003,83.56%,6037,1678.766084909439,0.0040145927,0.09734736539089953,-0.2583310324465856,0.001443348004367934,0.022453498987306374,0.09495768069173209
851968,1808.2944864800002,84.38%,6050,1695.3751864433289,0.0043545593,0.10054661218761263,-0.2502572235534899,0.002256186799915486,0.012784821371224098,0.09904251137049869
860160,1356.03080762,85.2%,6080,1713.1579630374908,0.0052737913,0.0982840033434145,-0.2342164175468497,0.0027238405119032446,0.005627962267271869,0.09744882306549699
868352,830.61221012,86.02%,6111,1730.7069671154022,0.0042905155,0.09732396995731955,-0.2166072666295804,0.0033182547880182788,0.028617604616192692,0.09413038401689847
876544,891.3521228599999,86.84%,6137,1747.8952498435974,0.0044590803,0.09288982517463432,-0.20577984442934394,0.0012616527506019526,0.017617588894063375,0.09100190101016778
884736,941.40500416,87.65%,6162,1765.8002393245697,0.0042818532,0.09519970001647261,-0.19797499320702627,0.0012910753943169255,0.020316122915210143,0.0930389801855199
892928,1080.13109212,88.47%,6184,1783.716611623764,0.0040304058,0.08994471701095699,-0.19630509810522198,0.0028210337245490997,0.016455806212616154,0.08801703301724047
901120,1246.83299248,89.29%,6202,1800.8052093982697,0.0041322788,0.08846769443313307,-0.18677152008749545,0.0010147004083948335,0.009573196610199374,0.08740890473127365
909312,1221.5853153400003,90.11%,6225,1817.909684419632,0.0042915612,0.0872253125730496,-0.18081859098747372,0.0013908748626286136,0.011167079076039954,0.08596951717918273
917504,1337.22489246,90.93%,6240,1837.1286787986755,0.0035845063,0.08639100329983188,-0.17498778243316337,0.0016760946477000133,0.008596289138586144,0.08536376492120326
925696,1159.22805962,91.75%,6268,1853.9448125362396,0.0042172952,0.08533915924537432,-0.1751130707329139,0.001540963859831968,0.014267282243326917,0.08375833463505841
933888,1046.16658498,92.57%,6290,1871.3027424812317,0.0038966579,0.09219651164991179,-0.17359499036101625,0.0013001363848475337,0.025079767054012336,0.08955852130602579
942080,1032.81563552,93.39%,6316,1888.0131721496582,0.0041019729,0.09117124461327908,-0.15972836818546057,0.0012134796664245782,0.012607594489782058,0.08978913719765842
950272,1069.40519392,94.21%,6338,1906.256021976471,0.0040230484,0.08990615838259933,-0.14131219683913515,0.0011553156296817654,0.00950552893373242,0.0888400739262579
958464,1130.6619079400002,95.03%,6360,1924.6223635673523,0.0038359432,0.08766731581774893,-0.12512097521685064,0.0019076704310992208,0.014737937958034308,0.08600275497883558
966656,1299.00314388,95.85%,6372,1943.0749468803406,0.0035172571,0.0860522491201892,-0.11456022105994634,0.0034421829261655273,0.020906192940856272,0.08361741153348703
974848,1464.1273859799999,96.67%,6387,1959.9692718982697,0.0039401633,0.08296296112161382,-0.10282655308255925,0.002366433708108313,0.025216445520527486,0.08020467319875024
983040,1701.9976785000003,97.48%,6399,1980.3626284599304,0.0034137329,0.08112039758368683,-0.09123874914366752,0.003097702407520045,0.027793718198427086,0.07803125552309212
991232,153.67265376,98.3%,6491,2000.7420287132263,0.0058583811,0.08062205907098595,-0.07806199643528089,0.007636654320163777,0.03843171479056764,0.07601522215991281
999424,563.8411951,99.12%,6504,2019.6033520698547,0.0044258546,0.10594158682627337,-0.07669589124270715,-0.006183196813360556,0.30582867240300404,0.075977039267309
1007616,976.78483306,99.94%,6524,2037.105155467987,0.0040410076,0.07937813517727832,-0.07896754594985396,0.0033053055909718506,0.016676761267535766,0.07737992849142757
