num_episodes,total timesteps,total_time,ep_rew_mean,total_loss,entropy_loss,value_loss,policy_gradient_loss
2346,190464,136.82158827781677,451.3,1.8932934790113118,-0.20502898655831814,1.8944701964501292,-0.0011767174388173374
2348,191488,137.51983642578125,489.42,0.06576480746784479,-0.19005223736166954,0.06638657592702657,-0.0006217684591817896
2349,192512,138.27264952659607,507.6,3.9359554103025154,-0.16913648881018162,3.932967599015683,0.002987811286832235
2350,193536,139.05170726776123,527.16,2.1101327900276585,-0.16472765617072582,2.1132384382071905,-0.003105648179531565
2350,194560,139.748841047287,527.16,2.0075951862926047,-0.1768877487629652,1.9977338518947363,0.009861334397868505
2352,195584,140.52743911743164,563.44,0.0397553663189614,-0.17047022841870785,0.03902601805748418,0.000729348261477215
2353,196608,141.22343230247498,582.4,4.17917320599036,-0.1670957040041685,4.181082848692313,-0.0019096427019527555
2354,197632,142.00907516479492,600.72,2.1726325282870005,-0.172461723908782,2.1747460486367345,-0.002113520349733868
2354,198656,142.78648686408997,600.72,0.10413721194187334,-0.1721667293459177,0.10497877188026905,-0.0008415599383957181
2356,199680,143.5393238067627,638.94,0.0860177007670435,-0.17484505288302898,0.08853440941311419,-0.0025167086460706842
2358,200704,144.27114820480347,676.36,4.79123132625572,-0.17686289735138416,4.791737918974832,-0.0005065927191113347
2358,201728,144.94425320625305,676.36,5.119932857602066,-0.1809868048876524,5.119288978166878,0.0006438794351878042
2359,202752,145.6525583267212,684.52,0.02606375017961758,-0.18139274045825005,0.03291687442106195,-0.006853124241444368
2370,203776,146.33411073684692,735.4,2.6539473769480955,-0.18913997150957584,2.5764783553313464,0.07746902161674912
2378,204800,147.0533845424652,686.1,25.573861073263643,-0.20240955241024494,25.559523433446884,0.014337639816757793
2387,205824,147.816481590271,537.96,12.682224589783946,-0.20788703858852386,12.666015341877937,0.016209247906007453
2397,206848,148.50344967842102,360.46,10.419594995022042,-0.21989987418055534,10.421449892222881,-0.0018548972008398824
2406,207872,149.25755071640015,199.94,7.383590753957197,-0.23252052068710327,7.382117375731468,0.0014733782257289802
2414,208896,150.03524684906006,111.06,4.810517987136841,-0.2422196175903082,4.816877357661724,-0.006359370524883191
2421,209920,150.77253484725952,115.48,3.802090199009382,-0.24405844509601593,3.8141251876950264,-0.012034988685644041
2424,210944,151.63914585113525,123.82,2.8554094380392163,-0.2460545115172863,2.842586701735854,0.012822736303362298
2427,211968,152.40847039222717,133.04,1.8201913221709962,-0.24122509732842445,1.8273843498900533,-0.007193027719057047
2427,212992,153.12125945091248,133.04,1.1309074402526227,-0.2336394526064396,1.1295556048862636,0.0013518353663590642
2427,214016,153.88078141212463,133.04,0.47777819590342774,-0.22863141261041164,0.48114766692742705,-0.0033694710239993214
2429,215040,154.61803650856018,169.16,0.33731389249612925,-0.2127734962850809,0.3432110040448606,-0.005897111548731343
2431,216064,155.300532579422,204.94,2.475311254315073,-0.20704094134271145,2.4775879778899252,-0.002276723574852233
2431,217088,155.99882245063782,204.94,3.067286105837867,-0.21268796920776367,3.073891549371183,-0.00660544353331598
2431,218112,156.72152590751648,204.94,0.25583447885003463,-0.2198588028550148,0.2581148240715265,-0.0022803452214919173
2433,219136,157.46485495567322,240.3,0.12330076307856866,-0.21294845454394817,0.12667379574850202,-0.003373032669933361
2435,220160,158.1920027732849,274.96,3.760425500892782,-0.2060439120978117,3.759282565675676,0.0011429352171064752
2436,221184,158.9004340171814,281.32,3.460088755815362,-0.19846983440220356,3.462845331756398,-0.0027565759410357387
2436,222208,159.63748455047607,281.32,2.0306731450027744,-0.18038322404026985,2.0346860319841653,-0.004012886981391219
2438,223232,160.3607382774353,317.18,0.047018601532090545,-0.14933513291180134,0.04774445208022371,-0.0007258505481331591
2439,224256,161.0632119178772,334.62,3.347541787630668,-0.13366203010082245,3.3472316078841686,0.00031017974649953303
2440,225280,161.7559425830841,351.72,1.9415622455765953,-0.13176708295941353,1.9408729234710336,0.0006893221055615763
2441,226304,162.47426676750183,369.12,2.227364148429142,-0.13526404276490211,2.225332202971913,0.0020319454572293415
2442,227328,163.36037468910217,387.08,2.2956679502117536,-0.14106357656419277,2.299928573425859,-0.004260623214105688
2443,228352,164.18474316596985,404.84,2.3089658546379948,-0.1354149468243122,2.311913733254187,-0.002947878616192309
2444,229376,164.9032895565033,422.36,2.2374070218512414,-0.12251584418118,2.2371536178980023,0.00025340395323903363
2445,230400,165.6737539768219,440.08,2.3905072612155824,-0.12226168252527714,2.384702459909022,0.005804801306560742
2446,231424,166.42162489891052,458.5,2.3318723808846933,-0.1316548027098179,2.3346575560281053,-0.002785175143411891
2447,232448,167.20481753349304,476.8,2.4266956376189968,-0.13702493533492088,2.4282589916838333,-0.0015633540648365377
2448,233472,168.01013088226318,494.82,2.356875563561942,-0.14219736121594906,2.356405300903134,0.00047026265880813786
2449,234496,168.68502068519592,512.34,2.3009098998733717,-0.14465636387467384,2.3045638726325706,-0.0036539727591989313
2450,235520,169.40397262573242,529.38,2.4526707755357458,-0.14855367690324783,2.4493754766881466,0.003295298847599039
2451,236544,170.18588089942932,546.96,2.513992724585495,-0.14005720987915993,2.512063075322658,0.0019296492628373023
